"Name","Version","License","URL"
"Flask","3.0.3","BSD License","https://github.com/pallets/flask/"
"GitPython","3.1.43","BSD License","https://github.com/gitpython-developers/GitPython"
"Jinja2","3.1.3","BSD License","https://palletsprojects.com/p/jinja/"
"Mako","1.3.3","MIT License","https://www.makotemplates.org/"
"Markdown","3.6","BSD License","https://Python-Markdown.github.io/"
"MarkupSafe","2.1.5","BSD License","https://palletsprojects.com/p/markupsafe/"
"PyYAML","6.0.1","MIT License","https://pyyaml.org/"
"SQLAlchemy","2.0.29","MIT License","https://www.sqlalchemy.org"
"Werkzeug","3.0.2","BSD License","UNKNOWN"
"alembic","1.13.1","MIT License","https://alembic.sqlalchemy.org"
"aniso8601","9.0.1","BSD License","https://bitbucket.org/nielsenb/aniso8601"
"attrs","23.2.0","MIT License","https://www.attrs.org/en/stable/changelog.html"
"blinker","1.8.1","MIT License","https://github.com/pallets-eco/blinker/"
"certifi","2024.2.2","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"charset-normalizer","3.3.2","MIT License","https://github.com/Ousret/charset_normalizer"
"click","8.1.7","BSD License","https://palletsprojects.com/p/click/"
"cloudpickle","3.0.0","BSD License","https://github.com/cloudpipe/cloudpickle"
"contourpy","1.2.1","BSD License","https://github.com/contourpy/contourpy"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/"
"dataclasses-json","0.6.5","MIT License","https://github.com/lidatong/dataclasses-json"
"docker","7.0.0","Apache Software License","https://github.com/docker/docker-py"
"entrypoints","0.4","MIT License","https://github.com/takluyver/entrypoints"
"fonttools","4.51.0","MIT License","http://github.com/fonttools/fonttools"
"future","1.0.0","MIT License","https://python-future.org"
"gitdb","4.0.11","BSD License","https://github.com/gitpython-developers/gitdb"
"graphene","3.3","MIT","https://github.com/graphql-python/graphene"
"graphql-core","3.2.3","MIT License","https://github.com/graphql-python/graphql-core"
"graphql-relay","3.2.0","MIT License","https://github.com/graphql-python/graphql-relay-py"
"greenlet","3.0.3","MIT License","https://greenlet.readthedocs.io/"
"gunicorn","21.2.0","MIT License","https://gunicorn.org"
"idna","3.7","BSD License","https://github.com/kjd/idna"
"imageio","2.34.1","BSD License","https://github.com/imageio/imageio"
"importlib_metadata","7.1.0","Apache Software License","https://github.com/python/importlib_metadata"
"itsdangerous","2.2.0","BSD License","https://github.com/pallets/itsdangerous/"
"joblib","1.4.0","BSD License","https://joblib.readthedocs.io"
"kiwisolver","1.4.5","BSD License","https://github.com/nucleic/kiwi"
"marshmallow","3.21.1","MIT License","https://github.com/marshmallow-code/marshmallow"
"matplotlib","3.8.4","Python Software Foundation License","https://matplotlib.org"
"mlcvzoo-base","5.7.2","Other/Proprietary License","https://git.openlogisticsfoundation.org/silicon-economy/base/ml-toolbox/mlcvzoo-base"
"mlflow","2.12.1","Apache Software License","https://mlflow.org"
"mypy-extensions","1.0.0","MIT License","https://github.com/python/mypy_extensions"
"numpy","1.26.4","BSD License","https://numpy.org"
"opencv-contrib-python","4.9.0.80","Apache Software License","https://github.com/opencv/opencv-python"
"opencv-python","4.9.0.80","Apache Software License","https://github.com/opencv/opencv-python"
"packaging","24.0","Apache Software License; BSD License","https://github.com/pypa/packaging"
"pandas","2.2.2","BSD License","https://pandas.pydata.org"
"pillow","10.3.0","Historical Permission Notice and Disclaimer (HPND)","https://python-pillow.org"
"protobuf","5.26.1","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"pyarrow","15.0.2","Apache Software License","https://arrow.apache.org/"
"pyparsing","3.1.2","MIT License","https://github.com/pyparsing/pyparsing/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"pytz","2024.1","MIT License","http://pythonhosted.org/pytz"
"querystring-parser","1.2.4","MIT License","https://github.com/bernii/querystring-parser"
"related-mltoolbox","1.1.0","MIT License","https://git.openlogisticsfoundation.org/silicon-economy/base/ml-toolbox/related-mltoolbox"
"requests","2.31.0","Apache Software License","https://requests.readthedocs.io"
"scikit-learn","1.4.2","BSD License","https://scikit-learn.org"
"scipy","1.13.0","BSD License","https://scipy.org/"
"six","1.16.0","MIT License","https://github.com/benjaminp/six"
"smmap","5.0.1","BSD License","https://github.com/gitpython-developers/smmap"
"sqlparse","0.5.0","BSD License","https://github.com/andialbrecht/sqlparse"
"tensorboardX","2.6.2.2","MIT License","https://github.com/lanpa/tensorboardX"
"terminaltables","3.1.10","MIT License","https://github.com/matthewdeanmartin/terminaltables"
"threadpoolctl","3.5.0","BSD License","https://github.com/joblib/threadpoolctl"
"tqdm","4.66.2","MIT License; Mozilla Public License 2.0 (MPL 2.0)","https://tqdm.github.io"
"typing-inspect","0.9.0","MIT License","https://github.com/ilevkivskyi/typing_inspect"
"typing_extensions","4.11.0","Python Software Foundation License","https://github.com/python/typing_extensions"
"tzdata","2024.1","Apache Software License","https://github.com/python/tzdata"
"urllib3","2.2.1","MIT License","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"yaml-config-builder","8.3.0","Other/Proprietary License","https://git.openlogisticsfoundation.org/silicon-economy/base/ml-toolbox/config-builder"
"zipp","3.18.1","MIT License","https://github.com/jaraco/zipp"
